,BEACH ST 200,BEACH ST 300,BEACH ST 400,BEACH ST 600,BEACH ST 700,BEACH ST 800,COLUMBUS AVE 1300,HYDE ST 2800,JONES ST 2600,JONES ST 2700,JONES ST 2800,LARKIN ST 3000,LEAVENWORTH ST 2700,MASON ST 2600,NORTH POINT ST 900,POLK ST 3100,POWELL ST 2400,TAYLOR ST 2700
137,6.0,5.0,9.0,2.0,17.0,14.0,15.0,5.0,1.0,10.0,1.0,9.0,9.0,17.0,4.0,11.0,1.0,8.0
138,6.0,4.0,10.0,5.0,22.0,18.0,18.0,5.0,1.0,12.0,1.0,13.0,10.0,15.0,6.0,10.0,6.0,10.0
139,6.0,5.0,12.0,7.0,32.0,20.0,19.0,3.0,1.0,10.0,4.0,14.0,10.0,18.0,8.0,9.0,7.0,12.0
140,7.0,5.0,9.0,8.0,36.0,20.0,20.0,4.0,0.0,8.0,6.0,17.0,11.0,20.0,10.0,9.0,9.0,10.0
141,8.0,12.0,15.0,7.0,31.0,17.0,23.0,5.0,0.0,6.0,6.0,16.0,14.0,20.0,12.0,10.0,10.0,8.0
142,8.0,13.0,19.0,4.0,33.0,25.0,21.0,6.0,0.0,6.0,7.0,20.0,14.0,20.0,13.0,10.0,17.0,8.0
143,5.0,15.0,29.0,4.0,33.0,25.0,21.0,6.0,0.0,7.0,7.0,21.0,13.0,14.0,18.0,13.0,16.0,8.0
144,5.0,16.0,30.0,5.0,32.0,25.0,21.0,5.0,4.0,5.0,6.0,20.0,12.0,16.0,18.0,20.0,17.0,6.0
145,3.0,15.0,25.0,6.0,35.0,22.0,18.0,5.0,3.0,5.0,6.0,20.0,16.0,16.0,23.0,17.0,20.0,7.0
146,8.0,14.0,26.0,8.0,42.0,23.0,21.0,8.0,3.0,9.0,8.0,19.0,16.0,16.0,21.0,18.0,23.0,11.0
147,8.0,16.0,24.0,12.0,45.0,21.0,28.0,10.0,3.0,10.0,8.0,17.0,14.0,12.0,23.0,15.0,25.0,10.0
148,7.0,20.0,27.0,11.0,41.0,28.0,28.0,9.0,3.0,10.0,7.0,15.0,18.0,15.0,18.0,17.0,24.0,11.0
149,6.0,21.0,23.0,10.0,39.0,22.0,29.0,7.0,3.0,9.0,8.0,17.0,17.0,14.0,16.0,13.0,19.0,14.0
150,6.0,18.0,23.0,10.0,33.0,20.0,30.0,7.0,3.0,13.0,8.0,21.0,20.0,14.0,14.0,14.0,16.0,18.0
151,5.0,20.0,23.0,11.0,26.0,15.0,28.0,7.0,3.0,17.0,8.0,24.0,19.0,12.0,14.0,13.0,15.0,19.0
152,5.0,23.0,19.0,15.0,26.0,18.0,29.0,5.0,5.0,17.0,7.0,20.0,21.0,13.0,12.0,14.0,13.0,15.0
153,6.0,22.0,24.0,14.0,28.0,18.0,30.0,5.0,5.0,18.0,6.0,25.0,25.0,15.0,17.0,15.0,15.0,13.0
154,5.0,17.0,26.0,11.0,28.0,17.0,27.0,4.0,4.0,17.0,5.0,34.0,23.0,16.0,19.0,14.0,17.0,13.0
155,4.0,18.0,29.0,7.0,30.0,20.0,22.0,5.0,4.0,17.0,5.0,29.0,19.0,16.0,16.0,14.0,17.0,14.0
156,4.0,20.0,24.0,9.0,30.0,22.0,24.0,5.0,5.0,16.0,8.0,31.0,16.0,17.0,20.0,15.0,17.0,13.0
157,5.0,16.0,25.0,5.0,35.0,21.0,24.0,4.0,3.0,17.0,11.0,25.0,15.0,14.0,19.0,15.0,15.0,13.0
158,7.0,14.0,25.0,3.0,32.0,22.0,23.0,7.0,3.0,15.0,13.0,27.0,16.0,11.0,24.0,17.0,14.0,14.0
159,5.0,16.0,25.0,7.0,25.0,22.0,26.0,10.0,3.0,13.0,11.0,33.0,20.0,11.0,18.0,18.0,10.0,14.0
160,4.0,14.0,22.0,13.0,29.0,23.0,22.0,10.0,4.0,13.0,10.0,41.0,20.0,13.0,17.0,21.0,9.0,14.0
161,7.0,16.0,19.0,15.0,28.0,25.0,23.0,9.0,6.0,17.0,9.0,38.0,19.0,12.0,15.0,24.0,11.0,14.0
162,7.0,15.0,20.0,15.0,29.0,27.0,25.0,9.0,5.0,17.0,10.0,35.0,19.0,12.0,22.0,24.0,11.0,15.0
163,4.0,12.0,16.0,14.0,29.0,33.0,24.0,8.0,4.0,15.0,13.0,33.0,16.0,12.0,21.0,24.0,11.0,16.0
164,6.0,8.0,15.0,12.0,27.0,30.0,21.0,5.0,4.0,11.0,13.0,33.0,15.0,12.0,20.0,20.0,9.0,15.0
165,7.0,12.0,18.0,11.0,28.0,24.0,21.0,3.0,4.0,10.0,18.0,32.0,18.0,14.0,17.0,32.0,9.0,15.0
166,6.0,12.0,15.0,10.0,31.0,24.0,22.0,0.0,5.0,9.0,15.0,26.0,16.0,14.0,13.0,31.0,11.0,13.0
167,6.0,13.0,15.0,12.0,30.0,26.0,23.0,1.0,5.0,10.0,10.0,22.0,17.0,15.0,16.0,31.0,11.0,11.0
168,6.0,11.0,12.0,12.0,32.0,24.0,20.0,1.0,4.0,10.0,9.0,20.0,16.0,15.0,14.0,29.0,12.0,12.0
169,7.0,12.0,14.0,10.0,34.0,25.0,22.0,1.0,4.0,10.0,7.0,17.0,16.0,22.0,17.0,30.0,10.0,10.0
170,8.0,20.0,14.0,10.0,30.0,25.0,24.0,1.0,4.0,9.0,6.0,15.0,14.0,19.0,21.0,25.0,11.0,10.0
171,7.0,16.0,14.0,8.0,37.0,21.0,25.0,3.0,3.0,9.0,8.0,12.0,11.0,16.0,21.0,20.0,12.0,10.0
172,4.0,10.0,10.0,6.0,30.0,19.0,20.0,3.0,2.0,7.0,6.0,8.0,9.0,14.0,19.0,16.0,11.0,8.0
173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
